Location,id,account,headless,gender,video_set,range,personalization_on,activity_on,pr1_count,pr2_count,pr_count,preroll_ad_rate,pr2_rate,pr1_scam,pr2_scam,preroll_scam,side_count,side_ad_rate,side_scam,promoted_vid_count,all_ad_rate,notes
"yt-east-1: us-east5-a (Columbus, Ohio)",0917_2101,sublinears,FALSE,Male,faddoul_available_Aug152023.csv,3000,FALSE,FALSE,159,158,317,10.57%,49.84%,27.67%,31.01%,29.34%,1177,39.23%,,25,50.63%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0917_2001,affineroot,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,TRUE,172,143,315,10.50%,45.40%,6.98%,6.99%,6.98%,207,6.90%,,34,18.53%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0917_2001,clopentopo,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,FALSE,175,174,349,11.63%,49.86%,22.29%,24.71%,23.50%,1072,35.73%,,42,48.77%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0917_2001,kahlerform,FALSE,Male,faddoul_available_Aug152023.csv,3000,FALSE,FALSE,176,169,345,11.50%,48.99%,23.86%,22.49%,23.19%,1083,36.10%,,30,48.60%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0917_1801,eigentrace,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,TRUE,108,93,201,6.70%,46.27%,8.33%,1.49%,5.97%,250,8.33%,,32,16.10%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0917_1801,maxiconvex,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,FALSE,165,157,322,10.73%,48.76%,24.24%,22.93%,23.60%,1112,37.07%,,17,48.37%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0917_1801,nonlattice,FALSE,Male,faddoul_available_Aug152023.csv,3000,FALSE,FALSE,165,159,324,10.80%,49.07%,20.00%,25.79%,22.84%,1095,36.50%,,19,47.93%,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"yt-east-1: us-east5-a (Columbus, Ohio)",0919_1922,sublinears,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,TRUE,139,105,244,8.13%,43.03%,0.00%,1.90%,0.82%,551,18.37%,,70,28.83%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0919_1922,banachnorm,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,FALSE,158,124,282,9.40%,43.97%,8.23%,8.87%,8.51%,667,22.23%,,30,32.63%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0919_1922,nonconcave,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,FALSE,FALSE,177,139,316,10.53%,43.99%,11.30%,7.19%,9.49%,832,27.73%,,17,38.83%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0919_1822,clopentopo,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,TRUE,126,110,236,7.87%,46.61%,1.59%,0.91%,1.27%,657,21.90%,,93,32.87%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0919_1822,affineroot,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,FALSE,159,130,289,9.63%,44.98%,11.32%,7.69%,9.69%,699,23.30%,,12,33.33%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0919_1822,kahlerform,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,FALSE,FALSE,165,127,292,9.73%,43.49%,10.30%,8.66%,9.59%,715,23.83%,,19,34.20%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0919_1622,nonlattice,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,TRUE,119,87,206,6.87%,42.23%,7.56%,1.15%,4.85%,500,16.67%,,63,25.63%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0919_1622,maxiconvex,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,FALSE,169,128,297,9.90%,43.10%,10.06%,10.94%,10.44%,740,24.67%,,14,35.03%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0919_1622,eigentrace,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,FALSE,FALSE,171,134,305,10.17%,43.93%,12.87%,7.46%,10.49%,715,23.83%,,27,34.90%,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"yt-east-1: us-east5-a (Columbus, Ohio)",0922_1527,banachnorm,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,TRUE,204,38,242,8.07%,15.70%,2.45%,2.63%,2.48%,411,13.70%,,80,24.43%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0922_1527,nonconcave,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,FALSE,164,103,267,8.90%,38.58%,16.46%,8.74%,13.48%,535,17.83%,,10,27.07%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0922_1527,sublinears,FALSE,Male,news_subset_Sep212023.csv,3000,FALSE,FALSE,162,108,270,9.00%,40.00%,26.54%,30.56%,28.15%,534,17.80%,,19,27.43%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0922_1427,kahlerform,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,TRUE,166,35,201,6.70%,17.41%,1.20%,0.00%,1.00%,537,17.90%,,76,27.13%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0922_1427,clopentopo,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,FALSE,150,91,241,8.03%,37.76%,8.00%,14.29%,10.37%,410,13.67%,,14,22.17%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0922_1427,affineroot,FALSE,Male,news_subset_Sep212023.csv,3000,FALSE,FALSE,147,92,239,7.97%,38.49%,21.09%,21.74%,21.34%,456,15.20%,,16,23.70%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0922_1227,maxiconvex,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,TRUE,159,50,209,6.97%,23.92%,3.77%,6.00%,4.31%,588,19.60%,,36,27.77%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0922_1227,eigentrace,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,FALSE,154,107,261,8.70%,41.00%,13.64%,16.82%,14.94%,409,13.63%,,12,22.73%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0922_1227,nonlattice,FALSE,Male,news_subset_Sep212023.csv,3000,FALSE,FALSE,150,98,248,8.27%,39.52%,22.00%,16.33%,19.76%,499,16.63%,,18,25.50%,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
