Location,id,account,headless,gender,video_set,range,personalization_on,activity_on,pr1_count,pr2_count,pr_count,preroll_ad_rate,pr2_rate,pr1_scam,pr2_scam,preroll_scam,side_count,side_ad_rate,side_scam,promoted_vid_count,all_ad_rate,notes
,,,,,,,,,,,,,,,,,,,,,,
"yt-east-1: us-east5-a (Columbus, Ohio)",0916_0125,banachnorm,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,TRUE,204,114,318,10.60%,35.85%,1.47%,0.00%,0.94%,211,7.03%,,74,20.10%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0916_0125,sublinears,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,FALSE,233,117,350,11.67%,33.43%,4.72%,7.69%,5.71%,398,13.27%,,25,25.77%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0916_0125,nonconcave,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,FALSE,FALSE,228,130,358,11.93%,36.31%,7.89%,5.38%,6.98%,515,17.17%,,27,30.00%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0916_0025,kahlerform,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,TRUE,219,118,337,11.23%,35.01%,0.00%,0.85%,0.30%,253,8.43%,,84,22.47%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0916_0025,affineroot,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,FALSE,338,170,508,16.93%,33.46%,4.73%,7.06%,5.51%,451,15.03%,,26,32.83%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0916_0025,clopentopo,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,FALSE,FALSE,243,176,419,13.97%,42.00%,7.41%,6.25%,6.92%,466,15.53%,,32,30.57%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0915_2225,maxiconvex,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,TRUE,202,105,307,10.23%,34.20%,0.00%,1.90%,0.65%,342,11.40%,,60,23.63%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0915_2225,nonlattice,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,FALSE,234,134,368,12.27%,36.41%,4.70%,3.73%,4.35%,625,20.83%,,41,34.47%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0915_2225,eigentrace,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,FALSE,FALSE,241,131,372,12.40%,35.22%,7.88%,6.87%,7.53%,697,23.23%,,34,36.77%,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"yt-east-1: us-east5-a (Columbus, Ohio)",0917_2101,nonconcave,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,TRUE,107,74,181,6.03%,40.88%,7.48%,6.76%,7.18%,366,12.20%,,36,19.43%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0917_2101,banachnorm,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,FALSE,144,141,285,9.50%,49.47%,43.75%,31.91%,37.89%,612,20.40%,,16,30.43%,
