Location,id,account,headless,gender,video_set,range,personalization_on,activity_on,pr1_count,pr2_count,pr_count,preroll_ad_rate,pr2_rate,pr1_scam,pr2_scam,preroll_scam,side_count,side_ad_rate,side_scam,promoted_vid_count,all_ad_rate,notes
,,,,,,,,,,,,,,,,,,,,,,
"yt-east-1: us-east5-a (Columbus, Ohio)",0925_1732,nonconcave,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,TRUE,122,106,228,7.60%,46.49%,9.84%,8.49%,9.21%,975,32.50%,,34,41.23%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0925_1732,sublinears,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,FALSE,152,146,298,9.93%,48.99%,38.16%,42.47%,40.27%,1217,40.57%,,20,51.17%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0925_1732,banachnorm,FALSE,Male,faddoul_available_Aug152023.csv,3000,FALSE,FALSE,156,152,308,10.27%,49.35%,28.85%,30.92%,29.87%,1107,36.90%,,64,49.30%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0925_1632,affineroot,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,TRUE,116,96,212,7.07%,45.28%,10.34%,7.29%,8.96%,701,23.37%,,47,32.00%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0925_1632,kahlerform,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,FALSE,162,161,323,10.77%,49.85%,25.93%,19.88%,22.91%,1277,42.57%,,26,54.20%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0925_1632,clopentopo,FALSE,Male,faddoul_available_Aug152023.csv,3000,FALSE,FALSE,163,162,325,10.83%,49.85%,32.52%,25.93%,29.23%,1185,39.50%,,42,51.73%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0925_1432,eigentrace,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,TRUE,130,88,218,7.27%,40.37%,6.15%,12.50%,8.72%,561,18.70%,,41,27.33%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0925_1432,nonlattice,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,FALSE,170,165,335,11.17%,49.25%,36.47%,36.97%,36.72%,1293,43.10%,,22,55.00%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0925_1432,maxiconvex,FALSE,Male,faddoul_available_Aug152023.csv,3000,FALSE,FALSE,174,159,333,11.10%,47.75%,33.33%,40.88%,36.94%,1453,48.43%,,27,60.43%,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"yt-east-1: us-east5-a (Columbus, Ohio)",0926_2157,sublinears,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,TRUE,123,103,226,7.53%,45.58%,9.76%,3.88%,7.08%,603,20.10%,,84,30.43%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0926_2157,nonconcave,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,FALSE,167,126,293,9.77%,43.00%,14.97%,11.90%,13.65%,664,22.13%,,20,32.57%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0926_2157,banachnorm,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,FALSE,FALSE,167,131,298,9.93%,43.96%,8.98%,10.69%,9.73%,584,19.47%,,24,30.20%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0926_2057,clopentopo,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,TRUE,141,111,252,8.40%,44.05%,2.13%,1.80%,1.98%,590,19.67%,,106,31.60%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0926_2057,kahlerform,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,FALSE,182,151,333,11.10%,45.35%,11.54%,9.27%,10.51%,674,22.47%,,47,35.13%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0926_2057,affineroot,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,FALSE,FALSE,185,145,330,11.00%,43.94%,15.14%,8.28%,12.12%,662,22.07%,,16,33.60%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0926_1857,nonlattice,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,TRUE,111,98,209,6.97%,46.89%,6.31%,3.06%,4.78%,575,19.17%,,83,28.90%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0926_1857,eigentrace,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,TRUE,FALSE,143,101,244,8.13%,41.39%,20.28%,9.90%,15.98%,724,24.13%,,24,33.07%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0926_1857,maxiconvex,FALSE,Male,science_videos_subset_20230815_0_30_41.csv,3000,FALSE,FALSE,148,109,257,8.57%,42.41%,10.81%,10.09%,10.51%,849,28.30%,,16,37.40%,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"yt-east-1: us-east5-a (Columbus, Ohio)",0928_0321,banachnorm,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,TRUE,207,131,338,11.27%,38.76%,0.48%,0.30%,0.59%,199,6.63%,,79,20.53%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0928_0321,sublinears,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,FALSE,252,145,397,13.23%,36.52%,5.56%,5.52%,5.54%,557,18.57%,,34,32.93%,some lag in middle for 30'
"yt-east-1: us-east5-a (Columbus, Ohio)",0928_0321,nonconcave,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,FALSE,FALSE,243,153,396,13.20%,38.64%,8.23%,7.19%,7.83%,541,18.03%,,25,32.07%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0928_0221,kahlerform,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,TRUE,194,112,306,10.20%,36.60%,1.55%,0.89%,1.31%,157,5.23%,,32,16.50%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0928_0221,affineroot,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,FALSE,219,123,342,11.40%,35.96%,10.05%,8.94%,9.36%,512,17.07%,,27,29.37%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0928_0221,clopentopo,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,FALSE,FALSE,215,129,344,11.47%,37.50%,6.98%,6.20%,6.69%,547,18.23%,,40,31.03%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0928_0021,maxiconvex,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,TRUE,211,120,331,11.03%,36.25%,0.95%,0.00%,0.60%,264,8.80%,,56,21.70%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0928_0021,nonlattice,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,TRUE,FALSE,231,130,361,12.03%,36.01%,6.06%,8.46%,6.93%,551,18.37%,,25,31.23%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0928_0021,eigentrace,FALSE,Male,us_entertainment_unique_Aug152023.csv,3000,FALSE,FALSE,235,133,368,12.27%,36.14%,9.36%,10.53%,9.78%,572,19.07%,,25,32.17%,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"yt-east-1: us-east5-a (Columbus, Ohio)",0929_1815,nonconcave,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,TRUE,127,77,204,6.80%,37.75%,6.30%,1.30%,4.41%,672,22.40%,,87,32.10%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0929_1815,banachnorm,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,FALSE,151,97,248,8.27%,39.11%,19.21%,5.15%,13.71%,597,19.90%,,31,29.20%,
"yt-east-1: us-east5-a (Columbus, Ohio)",0929_1815,sublinears,FALSE,Male,news_subset_Sep212023.csv,3000,FALSE,FALSE,161,78,239,7.97%,32.64%,42.24%,32.05%,38.91%,709,23.63%,,36,32.80%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0929_1715,affineroot,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,TRUE,126,43,169,5.63%,25.44%,1.59%,4.65%,2.37%,441,14.70%,,43,21.77%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0929_1715,clopentopo,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,FALSE,146,89,235,7.83%,37.87%,16.44%,5.62%,12.34%,414,13.80%,,19,22.27%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0929_1715,kahlerform,FALSE,Male,news_subset_Sep212023.csv,3000,FALSE,FALSE,153,94,247,8.23%,38.06%,15.03%,9.57%,12.96%,591,19.70%,,26,28.80%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0929_1515,eigentrace,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,TRUE,145,46,191,6.37%,24.08%,4.83%,6.52%,5.24%,488,16.27%,,55,24.47%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0929_1515,maxiconvex,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,FALSE,156,102,258,8.60%,39.53%,14.10%,6.86%,11.24%,422,14.07%,,12,23.07%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0929_1515,nonlattice,FALSE,Male,news_subset_Sep212023.csv,3000,FALSE,FALSE,158,94,252,8.40%,37.30%,15.19%,9.57%,13.10%,458,15.27%,,17,24.23%,
