run,run_id,pr1_count,pr2_count,pr_count,pr_ad_load,pr1_scam_count,pr2_scam_count,pr_scam_count,pr1_scam_rate,pr2_scam_rate,pr_scam_rate,unavailable_count,video_set,personalization_on,activity_on,side_count,promoted_vid_count,all_ad_rate,location,side_pv_load,predatory_load
1,0904_2337_sublinears,147,89,236,0.07866666666666666,3,3,6,0.02040816326530612,0.033707865168539325,0.025423728813559324,9,science,True,True,466.0,36.0,0.24600000000000002,east,0.16733333333333333,0.002
1,0904_2337_banachnorm,176,144,320,0.10666666666666667,12,15,27,0.06818181818181818,0.10416666666666667,0.084375,15,science,True,False,605.0,15.0,0.31329999999999997,east,0.20666666666666667,0.009
1,0904_2337_nonconcave,175,145,320,0.10666666666666667,9,16,25,0.05142857142857143,0.1103448275862069,0.078125,9,science,False,False,596.0,5.0,0.307,east,0.20033333333333334,0.008333333333333333
1,0904_2237_clopentopo,135,83,218,0.07266666666666667,1,1,2,0.007407407407407408,0.012048192771084338,0.009174311926605505,9,science,True,True,332.0,22.0,0.1907,central,0.118,0.0006666666666666666
1,0904_2237_affineroot,250,197,447,0.149,9,14,23,0.036,0.07106598984771574,0.05145413870246085,9,science,True,False,531.0,11.0,0.3297,central,0.18066666666666667,0.007666666666666666
1,0904_2237_kahlerform,168,143,311,0.10366666666666667,8,9,17,0.047619047619047616,0.06293706293706294,0.05466237942122187,9,science,False,False,627.0,14.0,0.3173,central,0.21366666666666667,0.005666666666666667
1,0904_2037_nonlattice,159,74,233,0.07766666666666666,3,2,5,0.018867924528301886,0.02702702702702703,0.02145922746781116,9,science,True,True,270.0,22.0,0.175,west,0.09733333333333333,0.0016666666666666668
1,0904_2037_maxiconvex,167,133,300,0.1,9,15,24,0.05389221556886228,0.11278195488721804,0.08,9,science,True,False,792.0,7.0,0.3663,west,0.2663333333333333,0.008
1,0904_2037_eigentrace,164,130,294,0.098,14,11,25,0.08536585365853659,0.08461538461538462,0.08503401360544217,9,science,False,False,603.0,7.0,0.3013,west,0.20333333333333334,0.008333333333333333
1,0907_2127_nonconcave,247,111,358,0.11933333333333333,0,0,0,0.0,0.0,0.0,2,entertainment,True,True,429.0,105.0,0.2973,east,0.178,0.0
