Location,id,account,headless,gender,video_set,range,personalization_on,activity_on,pr1_count,pr2_count,pr_count,preroll_ad_rate,pr2_rate,pr1_scam,pr2_scam,preroll_scam,side_count,side_ad_rate,side_scam,promoted_vid_count,all_ad_rate,notes
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0911_1613,kahlerform,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,FALSE,141,136,277,9.23%,49.10%,17.73%,13.24%,15.52%,568,18.93%,,10,28.50%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",0911_1613,affineroot,FALSE,Male,faddoul_available_Aug152023.csv,3000,FALSE,FALSE,204,173,377,12.57%,45.89%,28.92%,34.10%,31.30%,789,26.30%,,14,39.33%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0911_1413,nonlattice,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,TRUE,112,65,177,5.90%,36.72%,8.04%,13.85%,10.17%,280,9.33%,,44,16.70%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0911_1413,eigentrace,FALSE,Male,faddoul_available_Aug152023.csv,3000,TRUE,FALSE,153,121,274,9.13%,44.16%,29.41%,29.75%,29.56%,716,23.87%,,20,33.67%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",0911_1413,maxiconvex,FALSE,Male,faddoul_available_Aug152023.csv,3000,FALSE,FALSE,154,131,285,9.50%,45.96%,29.22%,32.82%,30.88%,903,30.10%,,16,40.13%,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"yt-east-1: us-east5-a (Columbus, Ohio)",1006_2347,banachnorm,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,TRUE,154,78,232,7.73%,33.62%,3.25%,7.69%,4.74%,705,23.50%,,128,35.50%,
"yt-east-1: us-east5-a (Columbus, Ohio)",1006_2347,nonconcave,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,FALSE,196,128,324,10.80%,39.51%,14.29%,16.41%,15.12%,1448,48.27%,,19,59.70%,
"yt-east-1: us-east5-a (Columbus, Ohio)",1006_2347,sublinears,FALSE,Male,news_subset_Sep212023.csv,3000,FALSE,FALSE,185,117,302,10.07%,38.74%,25.41%,15.38%,21.52%,1040,34.67%,,39,46.03%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",1006_2247,kahlerform,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,TRUE,145,34,179,5.97%,18.99%,4.83%,8.82%,5.59%,48,1.60%,,49,9.20%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",1006_2247,clopentopo,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,FALSE,143,98,241,8.03%,40.66%,17.48%,20.41%,18.67%,465,15.50%,,16,24.07%,
"yt-central-1: us-central1-a (Council Bluffs, Iowa)",1006_2247,affineroot,FALSE,Male,news_subset_Sep212023.csv,3000,FALSE,FALSE,148,88,236,7.87%,37.29%,19.59%,26.14%,22.03%,487,16.23%,,7,24.33%,
,,,,,,,,,,,,,,,,,,,,,,
"yt-west-1: us-west1-b (The Dalles, Oregon)",1006_2047,maxiconvex,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,TRUE,127,82,209,6.97%,39.23%,7.09%,6.10%,6.70%,631,21.03%,,87,30.90%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",1006_2047,eigentrace,FALSE,Male,news_subset_Sep212023.csv,3000,TRUE,FALSE,163,99,262,8.73%,37.79%,25.77%,15.15%,21.76%,784,26.13%,,42,36.27%,
"yt-west-1: us-west1-b (The Dalles, Oregon)",1006_2047,nonlattice,FALSE,Male,news_subset_Sep212023.csv,3000,FALSE,FALSE,174,105,279,9.30%,37.63%,22.41%,17.14%,20.43%,929,30.97%,,38,41.53%,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
